id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;language
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2023-06-08T10:49:33;71697;45464;FRENCH
2;Lynn;Buckridge;Emmet16@yahoo.com;interfaces override;2023-06-07T20:52:51;8020;783;FRENCH
3;Laisha;Glover;Augustine_Kshlerin71@gmail.com;Account Garden;2023-06-08T05:16:05;47489;37739;FRENCH
4;Otilia;Hintz;Antonina_Turner@gmail.com;synergy Albania;2023-06-08T04:00:10;80529;94809;ENGLISH
5;Brando;Kulas;Brannon.Collier@yahoo.com;pink;2023-06-07T18:00:23;18581;73893;ENGLISH
6;Kaela;Kihn;Erwin_Will64@yahoo.com;Decentralized;2023-06-08T03:55:47;95498;15970;SPANISH
7;Harold;Gerlach;Trever_Hilll65@gmail.com;Expressway infrastructures;2023-06-08T16:55:28;8893;52896;ENGLISH
8;Johann;Willms;Dejon3@yahoo.com;Uruguayo;2023-06-08T06:37:44;16398;79591;ENGLISH
9;Yasmine;Dach;Dean_Deckow@gmail.com;Shoes Concrete 1080p;2023-06-08T05:15:44;24828;43072;SPANISH
10;Kendall;Barton;Laurence90@yahoo.com;Rustic;2023-06-08T11:20:08;65131;40375;FRENCH
